doi,title,year,authors,journal,source,campaign,notes
10.1175/bams-d-19-0346.1,Connecting Land–Atmosphere Interactions to Surface Heterogeneity in CHEESEHEAD19,2021,"Brian Butterworth, Ankur R. Desai, Philip A. Townsend, Grant W. Petty, Christian Andresen, Timothy H. Bertram, Eric L. Kruger, James Mineau, Erik R. Olson, Sreenath Paleri, R. A. Pertzborn, Claire Pettersen, Paul C. Stoy, Jonathan E. Thom, Michael P. Vermeuel, Timothy J. Wagner, Daniel B. Wright, Ting Zheng, Stefan Metzger, Mark D. Schwartz, Trevor J. Iglinski, Matthias Mauder, Johannes Speidel, Hannes Vogelmann, Luise Wanner, Travis J. Augustine, William O. Brown, Steven Oncley, Michael Buban, Temple R. Lee, Patricia Cleary, David Durden, Christopher Florian, Kathleen Lantz, Laura Riihimaki, Joseph Sedlar, Tilden P. Meyers, David M. Plummer, Eliceo Ruíz Guzmán, Elizabeth Smith, Matthias Sühring, David D. Turner, Zhien Wang, Loren D. White, James M. Wilczak",Bulletin of the American Meteorological Society,research_rabbit_csv,,
10.5194/amt-14-3033-2021,Ground-based temperature and humidity profiling: combining active and passive remote sensors,2021,"David D. Turner, Ulrich Löhnert",Atmospheric Measurement Techniques,research_rabbit_csv,,
10.5194/essd-13-1041-2021,Remote-sensing and radiosonde datasets collected in the San Luis Valley during the LAPSE-RATE campaign,2021,"Tyler Bell, Petra M. Klein, Julie K. Lundquist, Sean Waugh",(missing journal),research_rabbit_csv,,
10.5194/amt-15-1185-2022,Low-level buoyancy as a tool to understand boundary layer transitions,2022,"Francesca M. Lappin, Tyler Bell, Elizabeth A. Pillar-Little, Phillip B. Chilson",Atmospheric Measurement Techniques,research_rabbit_csv,,
10.1175/mwr-d-20-0282.1,Convection initiation and bore formation following the collision of mesoscale boundaries over a developing stable boundary layer: a case study from PECAN,2021,"Guo Lin, Coltin Grasmick, Bart Geerts, Zhien Wang, Min Deng",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-18-0221.1,Origins of Vorticity in a Simulated Tornadic Mesovortex Observed during PECAN on 6 July 2015,2018,"Matthew D. Flournoy, Michael C. Coniglio",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-20-0118.1,Systematic Evaluation of the Impact of Assimilating a Network of Ground-Based Remote Sensing Profilers for Forecasts of Nocturnal Convection Initiation during PECAN,2020,"Samuel K. Degelia, Xuguang Wang, David J. Stensrud, David D. Turner",(missing journal),research_rabbit_csv,,
10.1175/jtech-d-18-0101.1,On the Use of Unmanned Aircraft for Sampling Mesoscale Phenomena in the Preconvective Boundary Layer,2018,S. Koch,Journal of Atmospheric and Oceanic Technology,research_rabbit_csv,,
10.1088/1742-6596/2767/4/042012,Extracting Atmospheric Stability Information from Dual-Doppler Radar Scans in the AWAKEN Campaign,2024,"J S Nadolsky, Jeremy L. Schroeder, Brian D. Hirth",Journal of Physics: Conference Series,research_rabbit_csv,,
10.1038/s41597-024-03477-9,Spatially distributed atmospheric boundary layer properties in Houston – A value-added observational dataset,2024,"Katia Lamer, Zackary Mages, Bernat Puigdomènech Treserras, Paul Walter, Zeen Zhu, Anita D. Rapp, Christopher J. Nowotarski, Sarah D. Brooks, James Flynn, Milind Sharma, Petra M. Klein, Michelle J. S. Spencer, Elizabeth Smith, Joshua Gebauer, Tyler Bell, Lydia Bunting, Travis Griggs, Timothy J. Wagner, Katherine E. McKeown",Scientific data,research_rabbit_csv,,
10.1175/bams-d-17-0009.1,A New Research Approach for Observing and Characterizing Land–Atmosphere Feedback,2018,V. Wulfmeyer,Bulletin of The American Meteorological Society - (BAMS),research_rabbit_csv,,
10.1063/5.0141683,Overview of preparation for the American WAKE ExperimeNt (AWAKEN),2024,"Patrick Moriarty, Nicola Bodini, Stefano Letizia, Aliza Abraham, Tyler Ashley, Konrad Bärfuss, R. J. Barthelmie, Alan Brewer, Peter Brugger, Thomas Feuerle, Ariane Frère, Lexie Goldberger, Julia Gottschall, Nicholas Hamilton, Thomas Herges, Brian D. Hirth, Lin-Ya Hung, Giacomo Valerio Iungo, Hristo Ivanov, Colleen Kaul, Stefan Kern, Petra M. Klein, Raghavendra Krishnamurthy, Astrid Lampert, Julie K. Lundquist, Victor Morris, Rob Newsom, Mikhail Pekour, Yelena L. Pichugina, Fernando Porté-Angel, S. C. Pryor, Andrew Scholbrock, John S. Schroeder, Samuel Shartzer, Eric Simley, Lilén Vöhringer, Sonia Wharton, Daniel Zalkind",Journal of Renewable and Sustainable Energy,research_rabbit_csv,,
10.3390/s18124448,Coordinated Unmanned Aircraft System (UAS) and Ground-Based Weather Measurements to Predict Lagrangian Coherent Structures (LCSs),2018,"Peter J. Nolan, James O. Pinto, Javier González-Rocha, Anders A. Jensen, Christina N. Vezzi, Sean W. Bailey, G. de Boer, Constantin Diehl, Roger Laurence, Craig Powers, Hosein Foroutan, Stéphane Ross, David G Schmale",Italian National Conference on Sensors,research_rabbit_csv,,
10.3390/s19122720,Moving towards a Network of Autonomous UAS Atmospheric Profiling Stations for Observations in the Earth’s Lower Atmosphere: The 3D Mesonet Concept,2019,"Phillip B. Chilson, Tyler Bell, Keith Brewster, Gustavo Britto Hupsel de Azevedo, F H Carr, Kerry D. Carson, William Doyle, Christopher A. Fiebrich, Brian Greene, James Grimsley, Sai Teja Kanneganti, Joshua Martin, Andrew D. Moore, Robert D. Palmer, Elizabeth A. Pillar-Little, Jorge L. Salazar-Cerreño, Antonio R. Segales, Mark Weber, M. Yeary, Kelvin K. Droegemeier",Italian National Conference on Sensors,research_rabbit_csv,,
10.1175/jamc-d-24-0203.1,Quantifying the thermodynamic impacts on the atmospheric boundary layer due to the sea breeze in the coastal Houston region,2025,"Francesca M. Lappin, Tyler Bell, Petra Klein, Gijs de Boer",Journal of Applied Meteorology and Climatology,research_rabbit_csv,,
